for the each bank details sections so only the each bank details only line graph
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank,Net Interest Income,Total Cost ,PBT,,,Total Asset,Total Liability,Total Equity,,Intrinsic value,,Stock price,,Decission,Status,Risk Level,Difference,Rank,volumn,,market capitalization,,Cost Of Equity,,Cost of debt,,Wacc,,,,,,,,
Commercial,"118,134,684","-64,061,180","54,073,504",,,"2,789,780,288","-2,514,518,542","275,261,746",,256.42,,103,,Buy,Undervalued,AA-,44.37,5,4164981.00,,595925481.48,,15.05%,,3.57%,,4.77%,,,,,,,,
HNB,"96,288,100","-54,946,307","41,341,793",,,"2,078,538,056","-1,847,058,781","231,479,275",,471.178,,214,,Buy,Undervalued,AA-,26.9,6,"2,148,061",,686842504.75,,14.96%,,3.61%,,15%,,,,,,,,
Sampath,"80,007,940","-52,687,328","27,320,612",,,"1,777,941,123","-1,611,402,907","166,538,216",,180.041,,79.1,,Buy,Undervalued,AA-,58.09,4,"2,276,245",,269165971.25,,15.75%,,1.97%,,2.68%,,,,,,,,
Pan Asia,"30,781,725","-26,651,725","4,130,000",,,"262,863,012","-239,981,602","22,881,410",,24.611,,22.8,,Buy,Undervalued,BBB,65.09,2,"9,826,633",,343932155.00,,14.83%,,5.4%,,6.42%,,,,,,,,
Seylan,"36,706,931","-26,655,931","10,051,000",,,"779,689,839","-709,201,367","70,488,472",,40.459,,50.5,,Sell,Overvalued,A+,63.3,3,"2,341,279",,182385634.10,,15.36%,,4.34%,,5.37%,,,,,,,,
NTB,"35,680,625","-19,148,359","16,532,266",,,"545,441,006","-468,554,699","76,886,307",,145.976,,129,,Buy,Undervalued,A,65.84,1,"413,719",,76066375.34,,13.02%,,4.00%,,5.33%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,,,,,,,DPS,,,,,,,P/E,,,,,,,P/B,,,,,,,Dividend yield,,,,,
,2019,2020,2021,2022,2023,2024,,2019,2020,2021,2022,2023,2024,,2019,2020,2021,2022,2023,2024,,2019,2020,2021,2022,2023,2024,,2019,2020,2021,2022,2023,2024
Commercial,17.025,15.18,19.77,18.53,15.57,37.74,,6.5,6.5,7.5,4.5,6.5,9.5,,4.85,4.74,3.65,2.56,6.13,2.73,,0.64,0.53,0.52,0.29,0.58,0.60,,0.08,0.09,0.10,0.09,0.07,0.09
HNB,28.04,22.39,32.3,26.2,35.59,72.3,,8,8,9,5,8,8,,5.52,5.19,3.94,2.92,4.78,4.47,,0.61,0.44,0.45,0.26,0.53,0.46,,0.05,0.07,0.07,0.07,0.05,0.06
Sampath,32.84,21.04,10.89,11.48,14.62,23.3,,11.75,8.25,4.25,4.6,5.85,,,1.61,2.10,4.68,2.92,4.82,5.40,,0.19,0.16,0.49,0.30,0.56,0.61,,0.22,0.19,0.08,0.14,0.08,0.04
Pan Asia,3.96,4.63,6.95,4.52,4.19,9.34,,0,0,0,0,0.25,0,,3.28,2.81,2.24,2.10,4.53,,,0.43,0.37,0.37,0.20,0.37,0.26,,,,,,0.01,
Seylan,0.01,0.01,0.01,0.01,0.30,0.46,,2,1.5,3,2,2.5,,,3.99,4.01,4.09,2.80,5.24,4.20,,0.50,0.42,0.40,0.29,0.44,0.34,,0.04,0.04,0.08,0.07,0.06,0.08
NTB,13.1,14.3,20.9,22.6,34.69,50.82,,2,2.3,3.5,4,,,,5.42,3.72,2.34,1.93,3.35,2.83,,0.64,0.43,0.34,0.29,,,,0.03,0.04,0.07,0.09,,
