,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
inf,3.7,4,4.3,4.5,3.8,3.8,3.4,3.4,3.3,3.1,4.1,4.8,5.7,6.2,5.4,5.2,4,3.9,4.2,4.1,4,4,4.1,4.2,3,3.3,4.1,3.9,4.5,5.2,5.7,6,5.7,7.6,9.9,12.1,14.2,15.1,18.7,29.8,39.1,54.6,60.8,64.3,69.8,66,61,57.2,51.7,50.6,50.3,35.3,25.2,12,6.3,4,1.3,1.5,3.4,4,6.4,5.9,0.9,1.5,0.9,1.7,2.4,0.5,-0.5,-0.8,-2.1,-1.7
usd,178.5,179,178,176,176,176,176,178,181,181,181,181,181.42,181.56,184.63,191.73,187.55,185.87,185.84,185.02,185.02,184.45,184.87,187.25,191.23,194.41,197.11,197.29,197.16,198.4,199.25,199.6,199.74,200.72,202.04,202.49,202.52,202.35,251.66,321.46,360.07,359.62,360.32,362.02,362.02,365.48,366.98,366.74,363.95,361,325,319.25,309.42,305,308,317,322,325,327,323.92,301.68,296.58,295.85,298.43,299.25,299.13,302.12,299.83,300.9,293.38,292.04,291.7
int,8.5,8.5,8.5,8,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7,6.5,6.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.5,9,13.5,13.5,13.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,11,11,10,10,10,9.5,9.5,9.5,9.5,9,9,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
gdp,3.7,3.7,3.7,1.6,1.6,1.6,2.7,2.7,2.7,2.9,2.9,2.9,-1.6,-1.6,-1.6,-16.3,-16.3,-16.3,1.3,1.3,1.3,0.8,0.8,0.8,4.8,4.8,4.8,12,12,12,-1.9,-1.9,-1.9,1.8,1.8,1.8,-1.6,-1.6,-1.6,-11.5,-11.5,-11.5,-12.4,-12.4,-12.4,-10.7,-10.7,-10.7,-11.5,-11.5,-11.5,-3.8,-3.8,-3.8,-1.6,-1.6,-1.6,4.3,4.3,4.3,5.3,5.3,5.3,4.7,4.7,4.7,5.5,5.5,5.5,5.4,5.4,5.4
